id,air_date,episode_number,name,overview,runtime,season_number,vote_average,list_of_characters,average_character_popularity
86388,1997-10-16,4,The One with the Ballroom Dancing,Joey attempts ballroom dancing in order to help Monica and Rachel keep their illegal sublet. Phoebe is attracted to one of her massage clients. And Ross tries to help Chandler quit the gym.,23,4,8.194,"['Maria', 'Rick', 'Mr. Simon', 'Karen Lambert', 'Bank Officer', 'Interviewer', 'Mr. Treeger', 'Mrs. Potter', 'Gym Employee']",5.135111111111112
86401,1997-10-30,5,The One with Joey's New Girlfriend,"Chandler hits on a woman at Central Perk, not realizing she is Joey's new girlfriend. He soon realizes he is very attracted to, possibly in love, with her. Ross and Rachel play the jealousy game in their relationships. And Phoebe desperately tries to catch a cold after discovering that her voice is sexier and her singing better when she has phlegm in her throat.",23,4,8.306,"['Amanda', 'Josh', 'Kathy', 'Gunther']",11.53925
86403,1997-11-06,6,The One with the Dirty Girl,Ross's new girlfriend seems nearly perfect until he visits her house and discovers that her apartment is incredibly dirty.  Chandler helps Joey pick out a thoughtful present for Kathy's birthday. Rachel attempts to finish a crossword puzzle by herself. And Phoebe helps Monica cater a funeral.,23,4,8.457,"['Mrs. Burkart', 'Cheryl', 'Kathy', 'Gunther']",17.06
86405,1997-11-13,7,The One Where Chandler Crosses the Line,"Chandler must decide between the girl of his dreams and his best friend when he and Kathy share a passionate kiss. Needless to say, Joey is not happy when he finds out about it. And nobody wants to tell Ross how awful his keyboard playing is.",23,4,8.4,"['Kathy', 'Gunther']",20.9745
86406,1997-11-20,8,The One with Chandler in a Box,"Chandler agrees to spend Thanksgiving in a shipping crate as penance for kissing Kathy. The gang decides to give each other Secret Santa gifts. After Monica gets ice in her eye, she ends up visiting Richard's son, who is as attracted to Monica as his father was.",23,4,8.722,"['Dr. Tim Burke', 'Nurse', 'Kathy', 'Gunther']",14.39675
86437,1997-12-11,9,The One Where They're Going to Party!,"Chandler and Ross's college friend Gandalf is planning to come to town. Gandalf is ""the party wizard."" Ross and Chandler are very excited until Gandalf cancels. However, they decide to make their own party with Joey's help. Joanna squashes Rachel's chance at a promotion. And when Monica fills in for a friend as food critic for a small newspaper, she must decide between a steady job as head chef of a restaurant she panned or keeping her catering business with her friend Phoebe.",23,4,8.057,"['Allesandro', 'Joanna', 'Mrs. Lynch', 'Mr. Posner', 'Sophie', 'Gunther']",5.2285
86408,1997-12-18,10,The One with the Girl from Poughkeepsie,Ross must decide whether to continue dating a girl he must travel two-and-a-half hours to see. Chandler sets Rachel up with a co-worker who misunderstands her intentions. Monica is being treated poorly by her new co-workers so she hires Joey just so she can fire him and show who's the boss. And Phoebe tries to write the perfect holiday song.,23,4,7.914,"['The Waiter', 'Mike', 'Drew', 'The Woman on the Train', 'The Kitchen Worker', 'The Poughkeepsie Woman', 'The Conductor', 'Gunther']",4.2095
86460,1998-01-08,11,The One with Phoebe's Uterus,Phoebe considers her options when her brother visits with his new wife and asks her to carry their child. Joey works as a tour guide at Ross's museum and tries to tear down the walls between tour guides and scientists. And Chandler seeks advice from Monica and Rachel after he fears that he will not live up to Kathy's sexual expectations--especially since the last guy she slept with before him was Joey.,23,4,8.629,"['Phoebe Abbott Sr.', 'Frank Buffay Jr.', 'Rhonda, The Tour Guide', 'Kathy', 'The Smart Kid', 'The Older Scientist', 'Another Tour Guide', 'Another Scientist', 'Alice Knight Buffay', 'Gunther']",14.1507
86407,1998-01-15,12,The One with the Embryos,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.",23,4,8.897,"['Frank Buffay Jr.', 'Dr. Zane', 'Alice Knight Buffay']",18.907999999999998
86475,1998-01-29,13,The One with Rachel's Crush,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.",23,4,8.25,"['Mr. Waltham', 'Joshua Burgin', 'Kathy', 'Gunther']",16.079250000000002
