,Unnamed: 0,id,job,original_name,popularity,air_date,episode_number,Title,overview,runtime,season_number,vote_average,list_of_characters,list_of_popularity,title_len,holiday_episode,sentiment
183,187,87518,"['Writer', 'Writer']","['Andrew Reich', 'Ted Cohen']","[1.788, 3.069]",2003-04-24,20.0,The One with the Soap Opera Party,"Joey doesn't tell the gang about his plans to throw a party on the roof of the building.  He also hides the fact that he's invited the ""Days of Our Lives"" cast, since the girls embarrass him when they meet stars.  Rachel discovers the truth about the party and soon, everybody knows (except for Chandler).  Ross meets a new colleague and, instantly attracted to her, invites her to the party.  Rachel and Monica go the party and act like crazed fans while Ross is intimidated by Charlie's former boyfriends.  Meanwhile, Chandler is at a play alone. At the end of the party, Rachel is looking for Joey and Ross is looking for Charlie, and they find Joey and Charlie kissing.",24.0,9.0,8.3,"['Charlie Wheeler', 'Kyle Lowder', 'Matthew Ashford', 'Professor Spafford', 'Bitter Woman on Stage', 'Dirk', 'Gunther']","[13.504, 2.874, 1.886, 6.233, 20.322, 3.489, 8.622]",33,0,0.04545454545454545
184,188,87520,['Writer'],['Robert Carlock'],[3.572],2003-05-01,21.0,The One with the Fertility Test,"Chandler and Monica court embarrassment when they secretly go to a fertility clinic for tests that will determine their family plans, until an old acquaintance runs into them.  Ross hides his feelings for Charlie to help Joey woo her.  Rachel sneaks into a spa for a massage and hopes that Phoebe won't find out and feel betrayed.",28.0,9.0,8.6,"['Charlie Wheeler', 'Nurse', 'Janice', 'Gunther']","[13.504, 3.01, 19.494, 8.622]",31,0,-0.15000000000000002
185,189,87522,"['Writer', 'Writer']","['Andrew Reich', 'Ted Cohen']","[1.788, 3.069]",2003-05-08,22.0,The One with the Donor,"When Monica and Chandler learn of their chances for natural conception, they resort to interviewing unsuspecting male candidates to find the perfect match for one who could inseminate her. Elsewhere, Phoebe is incredibly nervous about going to a party that Mike will be at--until she bumps into David.  Meanwhile, Rachel finds herself being mean to Charlie because of their common romantic interest in Joey, and Ross works hard on a lecture he hopes to present at a paleontology convention in Barbados.",25.0,9.0,8.4,"['Charlie Wheeler', 'David', 'Zack', 'Dr. Connelly', 'Professor Sherman', 'Gunther']","[13.504, 34.073, 20.86, 3.983, 2.653, 8.622]",22,0,0.12175925925925925
186,190,87523,"['Director', 'Writer', 'Writer']","['Kevin S. Bright', 'Andrew Reich', 'Ted Cohen']","[1.519, 1.788, 3.069]",2003-09-25,1.0,The One After Joey and Rachel Kiss,"Still in Barbados after Ross' keynote address, the friends cope with a variety of dilemmas. Ross has kissed Charlie, although she is still officially dating Joey. Joey and Rachel have kissed as well, but they agonize over how to tell Ross. Mike followed Phoebe to the island and proposed, despite his being in a relationship with someone else. And Monica has developed big hair, due to the humidity.",30.0,10.0,9.0,"['Mike Hanningan', 'Charlie Wheeler', 'Precious', 'Emma Geller-Green (uncredited)', 'Emma Geller-Green (uncredited)']","[42.535, 13.504, 12.311, 3.654, 9.721]",34,0,-0.008333333333333331
187,191,87548,['Director'],['Roger Christiansen'],[1.746],2003-10-30,5.0,The One Where Rachel's Sister Babysits,"To help her younger sister, Amy, become a more responsible person, Rachel overrides Ross' strong protests and allows Amy to baby-sit Emma but soon regrets that decision. Phoebe unknowingly thwarts Mike's ""anniversary"" surprise for her. Monica and Chandler become concerned when Joey tries to use big words in a recommendation letter on their behalf to a child adoption agency.",29.0,10.0,8.5,"['Amy Green', 'Mike Hanningan', 'Charlie Wheeler', 'Emma Geller-Green (uncredited)', 'Emma Geller-Green (uncredited)']","[20.044, 42.535, 13.504, 3.654, 9.721]",38,0,0.13333333333333333
188,192,87590,"['Writer', 'Director']","['Brian Buckner', 'Gary Halvorson']","[0.84, 2.843]",2003-10-09,3.0,The One with Ross's Tan,"Joey is confident while preparing to make love with Rachel for the first time, but he soon becomes uncharacteristically clumsy and Rachel feels uneasy as well. They wonder how Chandler and Monica transitioned from friends to lovers so easily. Monica and Phoebe's annoying friend Amanda visits. Ross goes to a spray-on tanning salon but fails to follow the simple directions properly.",25.0,10.0,8.7,"['Amanda Buffamonteezi', 'Tanning Salon Guy', 'Glenda']","[20.519, 3.099, 4.535]",23,0,0.009259259259259252
189,193,87596,"['Writer', 'Director']","['Robert Carlock', 'Gary Halvorson']","[3.572, 2.843]",2003-10-23,4.0,The One with the Cake,"On Emma's first birthday, Rachel convinces Monica and Chandler to delay their long-anticipated trip to Vermont to stay for the party. But complications ensue when the infant falls asleep--and a racy, adult birthday cake arrives. Meanwhile, when Ross dashes out to help Rachel, he leaves Joey in charge of keeping everybody locked in the apartment until they return with the right cake.",23.0,10.0,8.2,"['Estelle Leonard', 'Jack Geller', 'Emma Geller-Green (uncredited)', 'Emma Geller-Green (uncredited)', 'Judy Geller']","[6.511, 21.466, 3.654, 9.721, 13.696]",21,0,0.2119047619047619
190,194,87597,['Director'],['Kevin S. Bright'],[1.519],2003-11-13,7.0,The One with the Home Study,Monica and Chandler nervously prepare for a visit from an adoption worker who will decide if they would be suitable parents. Phoebe and Mike opt to have a small wedding and donate the extra money to a children's charity--only to demand it all back later. And Ross tries to help Rachel overcome her fear of swing sets so baby Emma can enjoy the playground.,24.0,10.0,8.4,"['Mike Hanningan', 'Laura', 'Charity Clerk', 'Emma Geller-Green (uncredited)', 'Emma Geller-Green (uncredited)']","[42.535, 15.842, 10.409, 3.654, 9.721]",27,0,0.08571428571428573
191,196,87599,"['Director', 'Writer']","['David Schwimmer', 'Scott Silveri']","[48.006, 3.0]",2004-01-08,9.0,The One with the Birth Mother,"Monica and Chandler travel to Ohio to meet a young pregnant woman, Erica Simmons, who is considering allowing them to adopt her child. Due to a mix-up at the adoption agency, Erica thinks Monica is a reverend and Chandler is a doctor. Joey dates Phoebe's friend but annoys her with his territorial eating habits. Rachel picks out an outfit for Ross to wear on a date but he ends up in a unique new wardrobe.",25.0,10.0,8.9,"['Sarah', 'Erica', 'Adoption Agency Worker']","[21.565, 29.614, 8.098]",29,0,0.16393939393939394
192,197,87600,['Director'],['Gary Halvorson'],[2.843],2004-01-15,10.0,The One Where Chandler Gets Caught,"Phoebe and Rachel catch Chandler getting into a car with a blonde woman, they follow him to the suburbs. Fearing that Chandler is cheating on Monica, they inform her--and learn that the woman is a real estate agent. The pair has been secretly shopping for houses and struggling with how to tell their best friends. The friends reminisce about their good times in the apartment.",23.0,10.0,8.5,"['Emma Geller-Green (uncredited)', 'Emma Geller-Green (uncredited)']","[3.654, 9.721]",34,0,0.3
